step,time,kinetic,potential,total,Px,Py,Pz,Lx,Ly,Lz
4380,21.9,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
4400,22,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
4420,22.1,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
4440,22.2,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
4460,22.3,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
4480,22.4,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
4500,22.5,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
4520,22.6,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
4540,22.7,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
4560,22.8,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
4580,22.9,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
4600,23,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
4620,23.1,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
4640,23.2,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
4660,23.3,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
4680,23.4,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
4700,23.5,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
4720,23.6,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
4740,23.7,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
4760,23.8,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
4780,23.9,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
4800,24,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
4820,24.1,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
4840,24.2,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
4860,24.3,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
4880,24.4,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
4900,24.5,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
4920,24.6,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
4940,24.7,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
4960,24.8,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
4980,24.9,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
5000,25,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
5020,25.1,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
5040,25.2,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
5060,25.3,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
5080,25.4,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
5100,25.5,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
5120,25.6,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
5140,25.7,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
5160,25.8,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
5180,25.9,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
5200,26,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
5220,26.1,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
5240,26.2,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
5260,26.3,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
5280,26.4,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
5300,26.5,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
5320,26.6,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
5340,26.7,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
5360,26.8,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
5380,26.9,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
5400,27,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
5420,27.1,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
5440,27.2,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
5460,27.3,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
5480,27.4,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
5500,27.5,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
5520,27.6,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
5540,27.7,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
5560,27.8,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
5580,27.9,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
