step,time,id,x,y,vx,vy
1860,9.3,0,-0.957437,-0.288653,0.204105,-0.676998
1860,9.3,1,0.957437,0.288653,-0.204105,0.676998
1880,9.4,0,-0.934651,-0.355575,0.251425,-0.660886
1880,9.4,1,0.934651,0.355575,-0.251425,0.660886
1900,9.5,0,-0.907194,-0.420721,0.297489,-0.641471
1900,9.5,1,0.907194,0.420721,-0.297489,0.641471
1920,9.6,0,-0.875203,-0.483763,0.342066,-0.61885
1920,9.6,1,0.875203,0.483763,-0.342066,0.61885
1940,9.7,0,-0.838837,-0.544388,0.384933,-0.593136
1940,9.7,1,0.838837,0.544388,-0.384933,0.593136
1960,9.8,0,-0.79828,-0.602292,0.425877,-0.564458
1960,9.8,1,0.79828,0.602292,-0.425877,0.564458
1980,9.9,0,-0.753733,-0.657186,0.464692,-0.532959
1980,9.9,1,0.753733,0.657186,-0.464692,0.532959
2000,10,0,-0.705419,-0.708795,0.501185,-0.498797
2000,10,1,0.705419,0.708795,-0.501185,0.498797
2020,10.1,0,-0.653579,-0.756862,0.535173,-0.462141
2020,10.1,1,0.653579,0.756862,-0.535173,0.462141
2040,10.2,0,-0.598473,-0.801146,0.566487,-0.423176
2040,10.2,1,0.598473,0.801146,-0.566487,0.423176
2060,10.3,0,-0.540376,-0.841427,0.594969,-0.382096
2060,10.3,1,0.540376,0.841427,-0.594969,0.382096
2080,10.4,0,-0.479578,-0.877502,0.620477,-0.339106
2080,10.4,1,0.479578,0.877502,-0.620477,0.339106
2100,10.5,0,-0.416384,-0.909192,0.642885,-0.294421
2100,10.5,1,0.416384,0.909192,-0.642885,0.294421
2120,10.6,0,-0.351108,-0.936337,0.66208,-0.248265
2120,10.6,1,0.351108,0.936337,-0.66208,0.248265
2140,10.7,0,-0.284078,-0.958803,0.677966,-0.200868
2140,10.7,1,0.284078,0.958803,-0.677966,0.200868
2160,10.8,0,-0.215627,-0.976478,0.690463,-0.152468
2160,10.8,1,0.215627,0.976478,-0.690463,0.152468
2180,10.9,0,-0.1461,-0.989272,0.69951,-0.103305
2180,10.9,1,0.1461,0.989272,-0.69951,0.103305
2200,11,0,-0.0758418,-0.997121,0.70506,-0.0536259
2200,11,1,0.0758418,0.997121,-0.70506,0.0536259
2220,11.1,0,-0.00520483,-0.999988,0.707087,-0.00367876
2220,11.1,1,0.00520483,0.999988,-0.707087,0.00367876
2240,11.2,0,0.0654582,-0.997857,0.70558,0.0462867
2240,11.2,1,-0.0654582,0.997857,-0.70558,-0.0462867
2260,11.3,0,0.135794,-0.990738,0.700547,0.0960209
2260,11.3,1,-0.135794,0.990738,-0.700547,-0.0960209
2280,11.4,0,0.205451,-0.978668,0.692013,0.145275
2280,11.4,1,-0.205451,0.978668,-0.692013,-0.145275
2300,11.5,0,0.274082,-0.961707,0.68002,0.193803
2300,11.5,1,-0.274082,0.961707,-0.68002,-0.193803
2320,11.6,0,0.341342,-0.93994,0.664628,0.241363
2320,11.6,1,-0.341342,0.93994,-0.664628,-0.241363
2340,11.7,0,0.406897,-0.913475,0.645915,0.287717
2340,11.7,1,-0.406897,0.913475,-0.645915,-0.287717
2360,11.8,0,0.470418,-0.882444,0.623974,0.332632
2360,11.8,1,-0.470418,0.882444,-0.623974,-0.332632
2380,11.9,0,0.531588,-0.847004,0.598914,0.375885
2380,11.9,1,-0.531588,0.847004,-0.598914,-0.375885
2400,12,0,0.590101,-0.80733,0.57086,0.41726
2400,12,1,-0.590101,0.80733,-0.57086,-0.41726
2420,12.1,0,0.645665,-0.763621,0.539954,0.456549
2420,12.1,1,-0.645665,0.763621,-0.539954,-0.456549
2440,12.2,0,0.698002,-0.716096,0.506349,0.493556
2440,12.2,1,-0.698002,0.716096,-0.506349,-0.493556
2460,12.3,0,0.746851,-0.664992,0.470214,0.528097
2460,12.3,1,-0.746851,0.664992,-0.470214,-0.528097
2480,12.4,0,0.791967,-0.610564,0.431729,0.559998
2480,12.4,1,-0.791967,0.610564,-0.431729,-0.559998
2500,12.5,0,0.833125,-0.553085,0.391085,0.589101
2500,12.5,1,-0.833125,0.553085,-0.391085,-0.589101
2520,12.6,0,0.870119,-0.492842,0.348488,0.615259
2520,12.6,1,-0.870119,0.492842,-0.348488,-0.615259
2540,12.7,0,0.902764,-0.430136,0.304148,0.638343
2540,12.7,1,-0.902764,0.430136,-0.304148,-0.638343
2560,12.8,0,0.930898,-0.36528,0.258289,0.658236
2560,12.8,1,-0.930898,0.36528,-0.258289,-0.658236
2580,12.9,0,0.954379,-0.298598,0.211138,0.674839
2580,12.9,1,-0.954379,0.298598,-0.211138,-0.674839
2600,13,0,0.97309,-0.230424,0.162933,0.68807
2600,13,1,-0.97309,0.230424,-0.162933,-0.68807
2620,13.1,0,0.986939,-0.161098,0.113913,0.697862
2620,13.1,1,-0.986939,0.161098,-0.113913,-0.697862
2640,13.2,0,0.995854,-0.0909676,0.0643239,0.704166
2640,13.2,1,-0.995854,0.0909676,-0.0643239,-0.704166
2660,13.3,0,0.999793,-0.0203822,0.0144133,0.706951
2660,13.3,1,-0.999793,0.0203822,-0.0144133,-0.706951
2680,13.4,0,0.998734,0.050305,-0.0355694,0.706202
2680,13.4,1,-0.998734,-0.050305,0.0355694,-0.706202
2700,13.5,0,0.992685,0.120741,-0.0853743,0.701925
2700,13.5,1,-0.992685,-0.120741,0.0853743,-0.701925
2720,13.6,0,0.981674,0.190573,-0.134752,0.694139
2720,13.6,1,-0.981674,-0.190573,0.134752,-0.694139
2740,13.7,0,0.965757,0.259453,-0.183457,0.682884
2740,13.7,1,-0.965757,-0.259453,0.183457,-0.682884
2760,13.8,0,0.945013,0.327037,-0.231245,0.668216
2760,13.8,1,-0.945013,-0.327037,0.231245,-0.668216
2780,13.9,0,0.919546,0.392985,-0.277877,0.650208
2780,13.9,1,-0.919546,-0.392985,0.277877,-0.650208
2800,14,0,0.889484,0.45697,-0.32312,0.628951
2800,14,1,-0.889484,-0.45697,0.32312,-0.628951
2820,14.1,0,0.854976,0.518671,-0.366749,0.604551
2820,14.1,1,-0.854976,-0.518671,0.366749,-0.604551
2840,14.2,0,0.816195,0.57778,-0.408544,0.577129
2840,14.2,1,-0.816195,-0.57778,0.408544,-0.577129
2860,14.3,0,0.773335,0.634001,-0.448298,0.546822
2860,14.3,1,-0.773335,-0.634001,0.448298,-0.546822
2880,14.4,0,0.72661,0.687053,-0.485811,0.513783
2880,14.4,1,-0.72661,-0.687053,0.485811,-0.513783
2900,14.5,0,0.676253,0.736672,-0.520896,0.478176
2900,14.5,1,-0.676253,-0.736672,0.520896,-0.478176
2920,14.6,0,0.622517,0.782609,-0.553378,0.44018
2920,14.6,1,-0.622517,-0.782609,0.553378,-0.44018
2940,14.7,0,0.56567,0.824635,-0.583094,0.399983
2940,14.7,1,-0.56567,-0.824635,0.583094,-0.399983
2960,14.8,0,0.505995,0.862539,-0.609896,0.357787
2960,14.8,1,-0.505995,-0.862539,0.609896,-0.357787
2980,14.9,0,0.443792,0.896133,-0.63365,0.313804
2980,14.9,1,-0.443792,-0.896133,0.63365,-0.313804
3000,15,0,0.379371,0.925248,-0.654237,0.268252
3000,15,1,-0.379371,-0.925248,0.654237,-0.268252
3020,15.1,0,0.313053,0.949739,-0.671554,0.221359
3020,15.1,1,-0.313053,-0.949739,0.671554,-0.221359
3040,15.2,0,0.245171,0.969483,-0.685515,0.17336
3040,15.2,1,-0.245171,-0.969483,0.685515,-0.17336
3060,15.3,0,0.176064,0.984382,-0.69605,0.124494
3060,15.3,1,-0.176064,-0.984382,0.69605,-0.124494
3080,15.4,0,0.106077,0.994361,-0.703106,0.0750069
3080,15.4,1,-0.106077,-0.994361,0.703106,-0.0750069
3100,15.5,0,0.0355597,0.999371,-0.706649,0.0251444
3100,15.5,1,-0.0355597,-0.999371,0.706649,-0.0251444
3120,15.6,0,-0.0351352,0.999386,-0.706659,-0.0248437
3120,15.6,1,0.0351352,-0.999386,0.706659,0.0248437
3140,15.7,0,-0.105655,0.994406,-0.703138,-0.0747077
3140,15.7,1,0.105655,-0.994406,0.703138,0.0747077
3160,15.8,0,-0.175646,0.984457,-0.696103,-0.124198
3160,15.8,1,0.175646,-0.984457,0.696103,0.124198
3180,15.9,0,-0.24476,0.969587,-0.685589,-0.173068
3180,15.9,1,0.24476,-0.969587,0.685589,0.173068
3200,16,0,-0.31265,0.949872,-0.671648,-0.221073
3200,16,1,0.31265,-0.949872,0.671648,0.221073
3220,16.1,0,-0.378977,0.925409,-0.654351,-0.267973
3220,16.1,1,0.378977,-0.925409,0.654351,0.267973
3240,16.2,0,-0.443411,0.896322,-0.633783,-0.313534
3240,16.2,1,0.443411,-0.896322,0.633783,0.313534
3260,16.3,0,-0.505629,0.862754,-0.610048,-0.357528
3260,16.3,1,0.505629,-0.862754,0.610048,0.357528
3280,16.4,0,-0.565319,0.824875,-0.583264,-0.399735
3280,16.4,1,0.565319,-0.824875,0.583264,0.399735
3300,16.5,0,-0.622185,0.782874,-0.553565,-0.439944
3300,16.5,1,0.622185,-0.782874,0.553565,0.439944
3320,16.6,0,-0.67594,0.73696,-0.521099,-0.477954
3320,16.6,1,0.67594,-0.73696,0.521099,0.477954
3340,16.7,0,-0.726318,0.687362,-0.486029,-0.513576
3340,16.7,1,0.726318,-0.687362,0.486029,0.513576
3360,16.8,0,-0.773065,0.63433,-0.44853,-0.546631
3360,16.8,1,0.773065,-0.63433,0.44853,0.546631
3380,16.9,0,-0.815949,0.578127,-0.40879,-0.576954
3380,16.9,1,0.815949,-0.578127,0.40879,0.576954
3400,17,0,-0.854755,0.519035,-0.367006,-0.604394
3400,17,1,0.854755,-0.519035,0.367006,0.604394
3420,17.1,0,-0.88929,0.457349,-0.323388,-0.628813
3420,17.1,1,0.88929,-0.457349,0.323388,0.628813
3440,17.2,0,-0.919379,0.393377,-0.278154,-0.65009
3440,17.2,1,0.919379,-0.393377,0.278154,0.65009
3460,17.3,0,-0.944874,0.327439,-0.231529,-0.668117
3460,17.3,1,0.944874,-0.327439,0.231529,0.668117
3480,17.4,0,-0.965647,0.259864,-0.183748,-0.682805
3480,17.4,1,0.965647,-0.259864,0.183748,0.682805
3500,17.5,0,-0.981593,0.190991,-0.135048,-0.694081
3500,17.5,1,0.981593,-0.190991,0.135048,0.694081
3520,17.6,0,-0.992634,0.121164,-0.0856729,-0.701888
3520,17.6,1,0.992634,-0.121164,0.0856729,0.701888
3540,17.7,0,-0.998713,0.0507303,-0.0358698,-0.706187
3540,17.7,1,0.998713,-0.0507303,0.0358698,0.706187
3560,17.8,0,-0.999802,-0.0199564,0.0141125,-0.706957
3560,17.8,1,0.999802,0.0199564,-0.0141125,0.706957
3580,17.9,0,-0.995893,-0.0905435,0.0640243,-0.704193
3580,17.9,1,0.995893,0.0905435,-0.0640243,0.704193
3600,18,0,-0.987007,-0.160678,0.113616,-0.69791
3600,18,1,0.987007,0.160678,-0.113616,0.69791
3620,18.1,0,-0.973189,-0.230009,0.16264,-0.688139
3620,18.1,1,0.973189,0.230009,-0.16264,0.688139
3640,18.2,0,-0.954506,-0.298191,0.210851,-0.674929
3640,18.2,1,0.954506,0.298191,-0.210851,0.674929
3660,18.3,0,-0.931054,-0.364883,0.258009,-0.658345
3660,18.3,1,0.931054,0.364883,-0.258009,0.658345
3680,18.4,0,-0.902948,-0.429751,0.303877,-0.638472
3680,18.4,1,0.902948,0.429751,-0.303877,0.638472
3700,18.5,0,-0.870329,-0.492471,0.348226,-0.615407
3700,18.5,1,0.870329,0.492471,-0.348226,0.615407
3720,18.6,0,-0.83336,-0.55273,0.390835,-0.589267
3720,18.6,1,0.83336,0.55273,-0.390835,0.589267
3740,18.7,0,-0.792227,-0.610227,0.43149,-0.560182
3740,18.7,1,0.792227,0.610227,-0.43149,0.560182
3760,18.8,0,-0.747134,-0.664674,0.469989,-0.528297
3760,18.8,1,0.747134,0.664674,-0.469989,0.528297
3780,18.9,0,-0.698307,-0.715798,0.506139,-0.493772
3780,18.9,1,0.698307,0.715798,-0.506139,0.493772
3800,19,0,-0.64599,-0.763346,0.53976,-0.456778
3800,19,1,0.64599,0.763346,-0.53976,0.456778
3820,19.1,0,-0.590445,-0.807078,0.570683,-0.417503
3820,19.1,1,0.590445,0.807078,-0.570683,0.417503
3840,19.2,0,-0.531948,-0.846777,0.598754,-0.37614
3840,19.2,1,0.531948,0.846777,-0.598754,0.37614
3860,19.3,0,-0.470794,-0.882244,0.623832,-0.332898
3860,19.3,1,0.470794,0.882244,-0.623832,0.332898
3880,19.4,0,-0.407286,-0.913301,0.645793,-0.287991
3880,19.4,1,0.407286,0.913301,-0.645793,0.287991
3900,19.5,0,-0.341742,-0.939794,0.664526,-0.241646
3900,19.5,1,0.341742,0.939794,-0.664526,0.241646
3920,19.6,0,-0.274491,-0.96159,0.679938,-0.194093
3920,19.6,1,0.274491,0.96159,-0.679938,0.194093
3940,19.7,0,-0.205868,-0.97858,0.691951,-0.14557
3940,19.7,1,0.205868,0.97858,-0.691951,0.14557
3960,19.8,0,-0.136216,-0.99068,0.700507,-0.096319
3960,19.8,1,0.136216,0.99068,-0.700507,0.096319
3980,19.9,0,-0.0658829,-0.997828,0.705561,-0.046587
3980,19.9,1,0.0658829,0.997828,-0.705561,0.046587
4000,20,0,0.00477918,-0.99999,0.707089,0.00337792
4000,20,1,-0.00477918,0.99999,-0.707089,-0.00337792
4020,20.1,0,0.0754174,-0.997153,0.705084,0.0533259
4020,20.1,1,-0.0754174,0.997153,-0.705084,-0.0533259
4040,20.2,0,0.145679,-0.989333,0.699554,0.103007
4040,20.2,1,-0.145679,0.989333,-0.699554,-0.103007
4060,20.3,0,0.215212,-0.976569,0.690528,0.152174
4060,20.3,1,-0.215212,0.976569,-0.690528,-0.152174
4080,20.4,0,0.28367,-0.958924,0.678051,0.20058
4080,20.4,1,-0.28367,0.958924,-0.678051,-0.20058
4100,20.5,0,0.350709,-0.936486,0.662186,0.247984
4100,20.5,1,-0.350709,0.936486,-0.662186,-0.247984
