step,time,sep
2470,49.4,4.11508
2475,49.5,4.12325
2480,49.6,4.13157
2485,49.7,4.14005
2490,49.8,4.1487
2495,49.9,4.15754
2500,50,4.16662
2505,50.1,4.176
2510,50.2,4.18573
2515,50.3,4.19585
2520,50.4,4.20634
2525,50.5,4.21708
2530,50.6,4.228
2535,50.7,4.23901
2540,50.8,4.25008
2545,50.9,4.26123
2550,51,4.2724
2555,51.1,4.2835
2560,51.2,4.29452
2565,51.3,4.30557
2570,51.4,4.31677
2575,51.5,4.3281
2580,51.6,4.33943
2585,51.7,4.35068
2590,51.8,4.36191
2595,51.9,4.3732
2600,52,4.38453
2605,52.1,4.39586
2610,52.2,4.40708
2615,52.3,4.41809
2620,52.4,4.42884
2625,52.5,4.43927
2630,52.6,4.44929
2635,52.7,4.45898
2640,52.8,4.46842
2645,52.9,4.47772
2650,53,4.48695
2655,53.1,4.49603
2660,53.2,4.50495
2665,53.3,4.51374
2670,53.4,4.52237
2675,53.5,4.53077
2680,53.6,4.53893
2685,53.7,4.54681
2690,53.8,4.55435
2695,53.9,4.56158
2700,54,4.56856
2705,54.1,4.57535
2710,54.2,4.58193
2715,54.3,4.58831
2720,54.4,4.59452
2725,54.5,4.60053
2730,54.6,4.60634
2735,54.7,4.61193
2740,54.8,4.61743
2745,54.9,4.62291
2750,55,4.62828
2755,55.1,4.6334
2760,55.2,4.63814
2765,55.3,4.64239
2770,55.4,4.64621
2775,55.5,4.64969
2780,55.6,4.65293
2785,55.7,4.65596
2790,55.8,4.65884
2795,55.9,4.66165
2800,56,4.66439
2805,56.1,4.66703
2810,56.2,4.6696
2815,56.3,4.67206
2820,56.4,4.67438
2825,56.5,4.67659
2830,56.6,4.67865
2835,56.7,4.68054
2840,56.8,4.68224
2845,56.9,4.68383
2850,57,4.68533
2855,57.1,4.68676
2860,57.2,4.68799
2865,57.3,4.68893
2870,57.4,4.68965
2875,57.5,4.69025
2880,57.6,4.69078
2885,57.7,4.69132
2890,57.8,4.69195
2895,57.9,4.69267
2900,58,4.69342
2905,58.1,4.69417
2910,58.2,4.69488
2915,58.3,4.69553
2920,58.4,4.69609
2925,58.5,4.69648
2930,58.6,4.69669
2935,58.7,4.69675
2940,58.8,4.69676
2945,58.9,4.69688
2950,59,4.69717
2955,59.1,4.69764
2960,59.2,4.69821
2965,59.3,4.69877
2970,59.4,4.69935
2975,59.5,4.69998
2980,59.6,4.70067
2985,59.7,4.7014
2990,59.8,4.70214
2995,59.9,4.70295
3000,60,4.70386
3005,60.1,4.70475
3010,60.2,4.70548
3015,60.3,4.70599
3020,60.4,4.70624
3025,60.5,4.70622
3030,60.6,4.70593
3035,60.7,4.70552
3040,60.8,4.70507
3045,60.9,4.70459
3050,61,4.70404
3055,61.1,4.70342
3060,61.2,4.7027
3065,61.3,4.70185
3070,61.4,4.70097
3075,61.5,4.7002
3080,61.6,4.69961
3085,61.7,4.69921
3090,61.8,4.69912
3095,61.9,4.69931
3100,62,4.6997
3105,62.1,4.70036
3110,62.2,4.70127
3115,62.3,4.70226
3120,62.4,4.70321
3125,62.5,4.70418
3130,62.6,4.70516
3135,62.7,4.70623
3140,62.8,4.70746
3145,62.9,4.70888
3150,63,4.71041
3155,63.1,4.71189
3160,63.2,4.71323
3165,63.3,4.71436
3170,63.4,4.71524
3175,63.5,4.71598
3180,63.6,4.71669
3185,63.7,4.71737
3190,63.8,4.71798
3195,63.9,4.71854
3200,64,4.7191
3205,64.1,4.71973
3210,64.2,4.72045
3215,64.3,4.72132
3220,64.4,4.7223
3225,64.5,4.7233
3230,64.6,4.72429
3235,64.7,4.72528
3240,64.8,4.72624
3245,64.9,4.72709
3250,65,4.72783
3255,65.1,4.72848
3260,65.2,4.72905
3265,65.3,4.72955
3270,65.4,4.7301
3275,65.5,4.73073
3280,65.6,4.73144
3285,65.7,4.73214
3290,65.8,4.73283
3295,65.9,4.7336
3300,66,4.73446
3305,66.1,4.7354
3310,66.2,4.73636
3315,66.3,4.73732
3320,66.4,4.73826
3325,66.5,4.73917
3330,66.6,4.73994
3335,66.7,4.74048
3340,66.8,4.74076
3345,66.9,4.74079
3350,67,4.7406
3355,67.1,4.74023
3360,67.2,4.73975
3365,67.3,4.73924
3370,67.4,4.73874
3375,67.5,4.73814
3380,67.6,4.7374
3385,67.7,4.73647
3390,67.8,4.73532
3395,67.9,4.73387
3400,68,4.73211
3405,68.1,4.7302
3410,68.2,4.7283
3415,68.3,4.72659
3420,68.4,4.72515
3425,68.5,4.72391
3430,68.6,4.72271
3435,68.7,4.72142
3440,68.8,4.72006
3445,68.9,4.71861
3450,69,4.71705
3455,69.1,4.71541
3460,69.2,4.7137
3465,69.3,4.71193
3470,69.4,4.71024
3475,69.5,4.70887
3480,69.6,4.7078
3485,69.7,4.70706
3490,69.8,4.70673
3495,69.9,4.70678
3500,70,4.70714
3505,70.1,4.70777
3510,70.2,4.70862
3515,70.3,4.70968
3520,70.4,4.71092
3525,70.5,4.71226
3530,70.6,4.7136
3535,70.7,4.71489
3540,70.8,4.71611
3545,70.9,4.71727
3550,71,4.7185
3555,71.1,4.71994
3560,71.2,4.72162
3565,71.3,4.72361
3570,71.4,4.72595
3575,71.5,4.72859
3580,71.6,4.73146
3585,71.7,4.73446
3590,71.8,4.73753
3595,71.9,4.7406
3600,72,4.74367
3605,72.1,4.74668
3610,72.2,4.74967
3615,72.3,4.75274
3620,72.4,4.756
3625,72.5,4.75945
3630,72.6,4.76306
3635,72.7,4.76676
3640,72.8,4.7705
3645,72.9,4.7742
3650,73,4.77789
3655,73.1,4.7816
3660,73.2,4.7853
3665,73.3,4.78905
3670,73.4,4.79292
3675,73.5,4.79688
3680,73.6,4.80094
3685,73.7,4.80509
3690,73.8,4.80938
3695,73.9,4.81377
3700,74,4.81822
3705,74.1,4.82273
3710,74.2,4.82731
3715,74.3,4.83196
3720,74.4,4.83666
3725,74.5,4.84137
3730,74.6,4.84604
3735,74.7,4.85064
3740,74.8,4.8552
3745,74.9,4.85975
3750,75,4.86429
3755,75.1,4.86888
3760,75.2,4.8736
3765,75.3,4.87847
3770,75.4,4.88344
3775,75.5,4.88846
3780,75.6,4.89351
3785,75.7,4.89857
3790,75.8,4.90362
3795,75.9,4.90866
3800,76,4.91363
3805,76.1,4.91845
3810,76.2,4.92309
3815,76.3,4.92755
3820,76.4,4.93182
3825,76.5,4.93589
3830,76.6,4.93979
3835,76.7,4.94362
3840,76.8,4.94749
3845,76.9,4.95146
3850,77,4.95557
3855,77.1,4.95974
3860,77.2,4.96382
3865,77.3,4.96778
3870,77.4,4.97164
3875,77.5,4.97537
3880,77.6,4.9789
3885,77.7,4.98225
3890,77.8,4.98551
3895,77.9,4.98864
3900,78,4.99158
3905,78.1,4.99434
3910,78.2,4.99687
3915,78.3,4.99919
3920,78.4,5.00137
3925,78.5,5.00341
3930,78.6,5.00535
3935,78.7,5.00727
3940,78.8,5.00921
3945,78.9,5.01115
3950,79,5.01311
3955,79.1,5.01506
3960,79.2,5.01701
3965,79.3,5.01902
3970,79.4,5.02114
3975,79.5,5.02338
3980,79.6,5.02572
3985,79.7,5.02808
3990,79.8,5.03031
3995,79.9,5.0324
4000,80,5.03438
4005,80.1,5.03623
4010,80.2,5.03791
4015,80.3,5.03941
4020,80.4,5.04075
4025,80.5,5.04206
4030,80.6,5.0434
4035,80.7,5.04472
4040,80.8,5.04591
4045,80.9,5.04697
4050,81,5.04788
4055,81.1,5.04864
4060,81.2,5.04928
4065,81.3,5.04987
4070,81.4,5.05052
4075,81.5,5.05135
4080,81.6,5.05246
4085,81.7,5.05381
4090,81.8,5.05534
4095,81.9,5.05693
4100,82,5.05853
4105,82.1,5.06009
4110,82.2,5.06161
4115,82.3,5.06311
4120,82.4,5.06459
4125,82.5,5.06608
4130,82.6,5.06755
4135,82.7,5.06894
4140,82.8,5.07027
4145,82.9,5.07154
4150,83,5.07274
4155,83.1,5.07378
4160,83.2,5.07467
4165,83.3,5.07545
4170,83.4,5.07621
4175,83.5,5.07702
4180,83.6,5.0779
4185,83.7,5.07894
4190,83.8,5.08017
4195,83.9,5.0816
4200,84,5.08317
4205,84.1,5.08482
4210,84.2,5.08653
4215,84.3,5.08825
4220,84.4,5.09
4225,84.5,5.09178
4230,84.6,5.09349
4235,84.7,5.09507
4240,84.8,5.09655
4245,84.9,5.09801
4250,85,5.09949
4255,85.1,5.101
4260,85.2,5.10249
4265,85.3,5.10391
4270,85.4,5.10522
4275,85.5,5.1064
4280,85.6,5.10749
4285,85.7,5.10858
4290,85.8,5.10975
4295,85.9,5.11109
4300,86,5.11252
4305,86.1,5.11388
4310,86.2,5.11505
4315,86.3,5.11601
4320,86.4,5.11678
4325,86.5,5.11742
4330,86.6,5.11802
4335,86.7,5.11866
4340,86.8,5.11939
4345,86.9,5.12022
4350,87,5.12105
4355,87.1,5.12183
4360,87.2,5.12249
4365,87.3,5.12307
4370,87.4,5.12363
4375,87.5,5.12419
4380,87.6,5.12474
4385,87.7,5.12523
4390,87.8,5.12562
4395,87.9,5.12592
4400,88,5.12613
4405,88.1,5.12624
4410,88.2,5.12635
4415,88.3,5.12657
4420,88.4,5.12691
4425,88.5,5.12736
4430,88.6,5.12789
4435,88.7,5.12845
4440,88.8,5.12896
4445,88.9,5.12932
4450,89,5.12954
4455,89.1,5.12967
4460,89.2,5.12973
4465,89.3,5.12972
4470,89.4,5.12961
4475,89.5,5.1294
4480,89.6,5.12915
4485,89.7,5.12887
4490,89.8,5.12857
4495,89.9,5.12823
4500,90,5.12783
