step,time,kinetic,potential,total,Px,Py
13100,26.2,0.254142,-0.274384,-0.0202421,8.43182e-09,5.92811e-09
13150,26.3,0.254517,-0.274751,-0.0202339,8.39615e-09,5.95918e-09
13200,26.4,0.254078,-0.27431,-0.0202314,8.30894e-09,5.81102e-09
13250,26.5,0.252768,-0.273006,-0.0202378,8.31618e-09,5.64915e-09
13300,26.6,0.251235,-0.271482,-0.0202475,8.04793e-09,5.79971e-09
13350,26.7,0.249774,-0.270031,-0.0202565,8.14494e-09,5.48287e-09
13400,26.8,0.248423,-0.268688,-0.0202643,8.00565e-09,5.53464e-09
13450,26.9,0.246775,-0.267049,-0.0202744,8.10267e-09,5.32364e-09
13500,27,0.24443,-0.264728,-0.0202981,7.89337e-09,5.31454e-09
13550,27.1,0.241593,-0.261905,-0.0203118,8.006e-09,5.21205e-09
13600,27.2,0.238738,-0.259059,-0.0203211,7.84819e-09,4.90273e-09
13650,27.3,0.236234,-0.256566,-0.0203327,8.33641e-09,4.61649e-09
13700,27.4,0.234296,-0.254644,-0.0203475,8.60374e-09,4.81172e-09
13750,27.5,0.23297,-0.25333,-0.0203595,8.49167e-09,4.7012e-09
13800,27.6,0.232077,-0.252446,-0.0203691,8.45621e-09,4.7904e-09
13850,27.7,0.231239,-0.251619,-0.0203798,8.4911e-09,4.74239e-09
13900,27.8,0.23064,-0.251026,-0.0203863,8.67312e-09,5.02831e-09
13950,27.9,0.230607,-0.250996,-0.0203889,8.61771e-09,5.06794e-09
14000,28,0.231292,-0.251681,-0.0203891,8.79999e-09,4.83303e-09
14050,28.1,0.232376,-0.252758,-0.0203823,9.31936e-09,5.01194e-09
14100,28.2,0.23354,-0.253907,-0.0203672,9.31374e-09,4.9763e-09
14150,28.3,0.234909,-0.255261,-0.0203523,9.638e-09,4.67563e-09
14200,28.4,0.236682,-0.257017,-0.0203348,1.00671e-08,4.90087e-09
14250,28.5,0.239126,-0.259439,-0.0203135,1.05577e-08,5.10457e-09
14300,28.6,0.241999,-0.262297,-0.0202984,1.09237e-08,5.53194e-09
14350,28.7,0.244659,-0.26494,-0.0202812,1.121e-08,5.79299e-09
14400,28.8,0.247069,-0.267332,-0.0202624,1.10979e-08,5.69528e-09
14450,28.9,0.249326,-0.269571,-0.0202456,1.06258e-08,5.42678e-09
14500,29,0.251601,-0.27183,-0.0202287,1.04295e-08,5.45324e-09
14550,29.1,0.254067,-0.27428,-0.0202126,1.00077e-08,5.31195e-09
14600,29.2,0.256728,-0.276921,-0.0201933,9.49191e-09,4.82464e-09
14650,29.3,0.259271,-0.279447,-0.0201761,9.54182e-09,4.70499e-09
14700,29.4,0.261402,-0.281565,-0.0201626,9.07844e-09,5.46807e-09
14750,29.5,0.262657,-0.282821,-0.0201639,8.60079e-09,5.02564e-09
14800,29.6,0.262765,-0.282929,-0.0201636,8.11214e-09,4.66476e-09
14850,29.7,0.261983,-0.28215,-0.0201664,7.71875e-09,4.54491e-09
14900,29.8,0.260699,-0.280876,-0.0201768,8.08919e-09,4.03498e-09
14950,29.9,0.258803,-0.278989,-0.0201863,8.64532e-09,3.63148e-09
15000,30,0.256208,-0.27641,-0.0202012,8.57387e-09,3.62638e-09
15050,30.1,0.25325,-0.273473,-0.0202228,8.78858e-09,3.76618e-09
15100,30.2,0.250177,-0.270408,-0.0202315,9.04685e-09,3.87765e-09
15150,30.3,0.247315,-0.267562,-0.0202471,9.44723e-09,4.26962e-09
15200,30.4,0.24509,-0.265349,-0.0202594,9.47063e-09,4.79779e-09
15250,30.5,0.24355,-0.263826,-0.0202752,9.33087e-09,5.28693e-09
15300,30.6,0.24238,-0.262664,-0.0202844,9.48701e-09,5.54548e-09
15350,30.7,0.241626,-0.26191,-0.0202842,9.7373e-09,5.8679e-09
15400,30.8,0.241374,-0.261653,-0.0202793,9.55535e-09,6.42085e-09
15450,30.9,0.241654,-0.26193,-0.0202765,8.96671e-09,6.38772e-09
15500,31,0.242266,-0.262536,-0.0202707,8.7085e-09,6.27611e-09
15550,31.1,0.242917,-0.263182,-0.0202654,8.50435e-09,6.09975e-09
15600,31.2,0.24319,-0.263451,-0.0202614,8.39952e-09,6.10236e-09
15650,31.3,0.242612,-0.26287,-0.0202576,8.0301e-09,5.46594e-09
15700,31.4,0.241385,-0.261653,-0.0202681,8.41044e-09,5.13937e-09
15750,31.5,0.239746,-0.260028,-0.020282,8.56385e-09,4.45182e-09
15800,31.6,0.237536,-0.25783,-0.0202936,8.71062e-09,4.64189e-09
15850,31.7,0.234871,-0.255176,-0.0203056,8.48227e-09,4.66225e-09
15900,31.8,0.232245,-0.252562,-0.0203167,8.07218e-09,4.94002e-09
15950,31.9,0.230157,-0.250488,-0.0203317,7.00686e-09,5.30152e-09
16000,32,0.228734,-0.249078,-0.0203441,6.58339e-09,5.26842e-09
16050,32.1,0.228215,-0.248563,-0.0203479,6.39663e-09,5.22666e-09
16100,32.2,0.228571,-0.24892,-0.0203485,6.64296e-09,5.00352e-09
16150,32.3,0.229755,-0.250103,-0.0203477,6.71003e-09,4.78466e-09
16200,32.4,0.231678,-0.252017,-0.0203384,6.80719e-09,3.93916e-09
16250,32.5,0.23419,-0.254518,-0.0203271,7.34878e-09,3.41045e-09
16300,32.6,0.237141,-0.257456,-0.020315,7.52045e-09,3.11433e-09
16350,32.7,0.240486,-0.260785,-0.0202989,7.60644e-09,2.8956e-09
16400,32.8,0.244055,-0.264333,-0.0202779,8.03233e-09,2.53187e-09
16450,32.9,0.247634,-0.267892,-0.0202582,8.49697e-09,2.36673e-09
16500,33,0.251115,-0.271362,-0.0202471,8.63939e-09,2.28288e-09
16550,33.1,0.254344,-0.274581,-0.0202374,8.85722e-09,2.30447e-09
16600,33.2,0.256694,-0.276925,-0.0202315,9.08237e-09,2.60774e-09
16650,33.3,0.257935,-0.278163,-0.0202277,8.79031e-09,2.55793e-09
16700,33.4,0.258261,-0.278489,-0.020228,8.54204e-09,2.28499e-09
16750,33.5,0.257733,-0.277961,-0.0202281,8.35676e-09,2.15431e-09
16800,33.6,0.256744,-0.276983,-0.0202388,8.54571e-09,1.99557e-09
16850,33.7,0.25549,-0.275735,-0.020245,8.53083e-09,2.09933e-09
16900,33.8,0.253932,-0.274184,-0.020252,8.70225e-09,2.53466e-09
