step,time,sep
2015,40.3,4.81005
2020,40.4,4.81934
2025,40.5,4.82847
2030,40.6,4.83738
2035,40.7,4.84608
2040,40.8,4.85458
2045,40.9,4.86293
2050,41,4.87123
2055,41.1,4.87945
2060,41.2,4.88744
2065,41.3,4.89512
2070,41.4,4.90253
2075,41.5,4.90969
2080,41.6,4.91665
2085,41.7,4.92349
2090,41.8,4.93038
2095,41.9,4.93733
2100,42,4.94423
2105,42.1,4.95103
2110,42.2,4.95779
2115,42.3,4.96453
2120,42.4,4.97125
2125,42.5,4.97796
2130,42.6,4.98467
2135,42.7,4.99135
2140,42.8,4.99795
2145,42.9,5.00448
2150,43,5.01087
2155,43.1,5.01712
2160,43.2,5.02323
2165,43.3,5.02933
2170,43.4,5.03551
2175,43.5,5.04181
2180,43.6,5.04814
2185,43.7,5.05437
2190,43.8,5.06043
2195,43.9,5.06625
2200,44,5.07185
2205,44.1,5.07729
2210,44.2,5.08262
2215,44.3,5.08788
2220,44.4,5.09307
2225,44.5,5.09826
2230,44.6,5.10352
2235,44.7,5.10889
2240,44.8,5.11444
2245,44.9,5.12019
2250,45,5.1261
2255,45.1,5.1321
2260,45.2,5.13822
2265,45.3,5.14454
2270,45.4,5.15113
2275,45.5,5.15793
2280,45.6,5.16482
2285,45.7,5.17171
2290,45.8,5.17853
2295,45.9,5.18528
2300,46,5.19198
2305,46.1,5.19862
2310,46.2,5.20526
2315,46.3,5.21196
2320,46.4,5.21878
2325,46.5,5.22574
2330,46.6,5.23289
2335,46.7,5.24023
2340,46.8,5.24786
2345,46.9,5.25586
2350,47,5.26421
2355,47.1,5.27279
2360,47.2,5.28145
2365,47.3,5.29021
2370,47.4,5.29918
2375,47.5,5.30847
2380,47.6,5.31814
2385,47.7,5.32814
2390,47.8,5.33845
2395,47.9,5.34903
2400,48,5.35977
2405,48.1,5.37059
2410,48.2,5.38144
2415,48.3,5.39224
2420,48.4,5.40302
2425,48.5,5.41388
2430,48.6,5.42498
2435,48.7,5.43637
2440,48.8,5.448
2445,48.9,5.45981
2450,49,5.47168
2455,49.1,5.48349
2460,49.2,5.49519
2465,49.3,5.50677
2470,49.4,5.51836
2475,49.5,5.53004
2480,49.6,5.54192
2485,49.7,5.554
2490,49.8,5.56607
2495,49.9,5.57809
2500,50,5.59009
