frame,median_sep,dense_core_sep
386,0.6390,0.1950
387,0.6408,0.1950
388,0.6423,0.1951
389,0.6453,0.1961
390,0.6499,0.1967
391,0.6553,0.1982
392,0.6586,0.1994
393,0.6602,0.1993
394,0.6611,0.1984
395,0.6618,0.1983
396,0.6632,0.1987
397,0.6641,0.1997
398,0.6650,0.2009
399,0.6666,0.2030
400,0.6679,0.2057
401,0.6696,0.2086
402,0.6706,0.2106
403,0.6708,0.2117
404,0.6723,0.2123
405,0.6727,0.2127
406,0.6729,0.2124
407,0.6740,0.2114
408,0.6740,0.2103
409,0.6750,0.2101
410,0.6761,0.2095
411,0.6775,0.2088
412,0.6779,0.2076
413,0.6790,0.2062
414,0.6799,0.2047
415,0.6805,0.2029
416,0.6816,0.2014
417,0.6826,0.2005
418,0.6843,0.2004
419,0.6863,0.1996
420,0.6882,0.1997
421,0.6907,0.2008
422,0.6932,0.2015
423,0.6963,0.2030
424,0.6976,0.2035
425,0.7002,0.2046
426,0.7016,0.2057
427,0.7033,0.2072
428,0.7057,0.2094
429,0.7084,0.2122
430,0.7106,0.2155
431,0.7132,0.2189
432,0.7168,0.2229
433,0.7194,0.2264
434,0.7223,0.2296
435,0.7259,0.2324
436,0.7298,0.2352
437,0.7322,0.2370
438,0.7346,0.2379
439,0.7377,0.2399
440,0.7412,0.2423
441,0.7442,0.2441
442,0.7473,0.2459
443,0.7507,0.2473
444,0.7543,0.2482
445,0.7581,0.2491
446,0.7608,0.2498
447,0.7644,0.2503
448,0.7666,0.2500
449,0.7682,0.2490
450,0.7698,0.2475
451,0.7719,0.2466
452,0.7720,0.2444
453,0.7728,0.2432
454,0.7729,0.2419
455,0.7718,0.2406
456,0.7703,0.2394
457,0.7677,0.2376
458,0.7651,0.2365
459,0.7625,0.2345
460,0.7593,0.2329
461,0.7571,0.2317
462,0.7549,0.2303
463,0.7518,0.2298
464,0.7492,0.2291
465,0.7462,0.2283
466,0.7439,0.2281
467,0.7428,0.2288
468,0.7403,0.2287
469,0.7388,0.2293
470,0.7375,0.2294
471,0.7366,0.2300
472,0.7357,0.2311
473,0.7356,0.2317
474,0.7356,0.2323
475,0.7370,0.2333
476,0.7384,0.2336
477,0.7385,0.2329
478,0.7378,0.2324
479,0.7384,0.2308
480,0.7372,0.2290
481,0.7353,0.2259
482,0.7332,0.2228
483,0.7312,0.2192
484,0.7302,0.2149
485,0.7281,0.2108
486,0.7277,0.2078
487,0.7282,0.2055
488,0.7287,0.2046
489,0.7292,0.2053
490,0.7302,0.2068
491,0.7324,0.2099
492,0.7342,0.2134
493,0.7362,0.2165
494,0.7370,0.2185
495,0.7374,0.2198
496,0.7376,0.2214
497,0.7380,0.2222
498,0.7391,0.2229
499,0.7405,0.2238
500,0.7419,0.2253
