step,time,sep
3485,69.7,3.33761
3490,69.8,3.34
3495,69.9,3.34239
3500,70,3.34468
3505,70.1,3.34677
3510,70.2,3.34862
3515,70.3,3.35029
3520,70.4,3.35189
3525,70.5,3.35346
3530,70.6,3.355
3535,70.7,3.35652
3540,70.8,3.35808
3545,70.9,3.35971
3550,71,3.36139
3555,71.1,3.36309
3560,71.2,3.36473
3565,71.3,3.36626
3570,71.4,3.36769
3575,71.5,3.36903
3580,71.6,3.37022
3585,71.7,3.37128
3590,71.8,3.37228
3595,71.9,3.37328
3600,72,3.37433
3605,72.1,3.37546
3610,72.2,3.37675
3615,72.3,3.37822
3620,72.4,3.37972
3625,72.5,3.38114
3630,72.6,3.38249
3635,72.7,3.38377
3640,72.8,3.38495
3645,72.9,3.38604
3650,73,3.38714
3655,73.1,3.38833
3660,73.2,3.38965
3665,73.3,3.39108
3670,73.4,3.39258
3675,73.5,3.39414
3680,73.6,3.39578
3685,73.7,3.39752
3690,73.8,3.39931
3695,73.9,3.40106
3700,74,3.40276
3705,74.1,3.40447
3710,74.2,3.40625
3715,74.3,3.40805
3720,74.4,3.40981
3725,74.5,3.41145
3730,74.6,3.41295
3735,74.7,3.41438
3740,74.8,3.41579
3745,74.9,3.41717
3750,75,3.41855
3755,75.1,3.41987
3760,75.2,3.4211
3765,75.3,3.42232
3770,75.4,3.42348
3775,75.5,3.42451
3780,75.6,3.42538
3785,75.7,3.42614
3790,75.8,3.42686
3795,75.9,3.42759
3800,76,3.42836
3805,76.1,3.42913
3810,76.2,3.42991
3815,76.3,3.43063
3820,76.4,3.43121
3825,76.5,3.4316
3830,76.6,3.43179
3835,76.7,3.43179
3840,76.8,3.43168
3845,76.9,3.43156
3850,77,3.43141
3855,77.1,3.43119
3860,77.2,3.43086
3865,77.3,3.43041
3870,77.4,3.4299
3875,77.5,3.42936
3880,77.6,3.42881
3885,77.7,3.42828
3890,77.8,3.42771
3895,77.9,3.42705
3900,78,3.42632
3905,78.1,3.42561
3910,78.2,3.42498
3915,78.3,3.42446
3920,78.4,3.42401
3925,78.5,3.42364
3930,78.6,3.42336
3935,78.7,3.4232
3940,78.8,3.42311
3945,78.9,3.42302
3950,79,3.42285
3955,79.1,3.42248
3960,79.2,3.42194
3965,79.3,3.42129
3970,79.4,3.42053
3975,79.5,3.41973
3980,79.6,3.41896
3985,79.7,3.41829
3990,79.8,3.41781
3995,79.9,3.41758
4000,80,3.41764
