step,time,id,x,y,z,vx,vy,vz
2680,13.4,1,0.747453,0.334128,-0.574172,0.0763913,0.377339,0.31903
2700,13.5,0,-0.754155,-0.371428,0.541565,-0.0576173,-0.368517,-0.332979
2700,13.5,1,0.754155,0.371428,-0.541565,0.0576173,0.368517,0.332979
2720,13.6,0,-0.758971,-0.4078,0.507604,-0.0386993,-0.358775,-0.346096
2720,13.6,1,0.758971,0.4078,-0.507604,0.0386993,0.358775,0.346096
2740,13.7,0,-0.761891,-0.443153,0.472374,-0.0196846,-0.348136,-0.358349
2740,13.7,1,0.761891,0.443153,-0.472374,0.0196846,0.348136,0.358349
2760,13.8,0,-0.762907,-0.477399,0.435964,-0.000620637,-0.336627,-0.369705
2760,13.8,1,0.762907,0.477399,-0.435964,0.000620637,0.336627,0.369705
2780,13.9,0,-0.762015,-0.510451,0.398464,0.0184448,-0.324276,-0.380138
2780,13.9,1,0.762015,0.510451,-0.398464,-0.0184448,0.324276,0.380138
2800,14,0,-0.759219,-0.542227,0.359968,0.0374642,-0.311115,-0.38962
2800,14,1,0.759219,0.542227,-0.359968,-0.0374642,0.311115,0.38962
2820,14.1,0,-0.754526,-0.572648,0.320572,0.0563899,-0.297176,-0.398129
2820,14.1,1,0.754526,0.572648,-0.320572,-0.0563899,0.297176,0.398129
2840,14.2,0,-0.747946,-0.601637,0.280375,0.0751747,-0.282494,-0.405642
2840,14.2,1,0.747946,0.601637,-0.280375,-0.0751747,0.282494,0.405642
2860,14.3,0,-0.739497,-0.629123,0.239477,0.0937716,-0.267107,-0.412142
2860,14.3,1,0.739497,0.629123,-0.239477,-0.0937716,0.267107,0.412142
2880,14.4,0,-0.7292,-0.655036,0.197981,0.112134,-0.251051,-0.417611
2880,14.4,1,0.7292,0.655036,-0.197981,-0.112134,0.251051,0.417611
2900,14.5,0,-0.717079,-0.679313,0.15599,0.130216,-0.234369,-0.422036
2900,14.5,1,0.717079,0.679313,-0.15599,-0.130216,0.234369,0.422036
2920,14.6,0,-0.703167,-0.701891,0.113609,0.147973,-0.2171,-0.425407
2920,14.6,1,0.703167,0.701891,-0.113609,-0.147973,0.2171,0.425407
2940,14.7,0,-0.687497,-0.722714,0.0709439,0.16536,-0.199289,-0.427715
2940,14.7,1,0.687497,0.722714,-0.0709439,-0.16536,0.199289,0.427715
2960,14.8,0,-0.670109,-0.741732,0.0281016,0.182333,-0.180979,-0.428953
2960,14.8,1,0.670109,0.741732,-0.0281016,-0.182333,0.180979,0.428953
2980,14.9,0,-0.651046,-0.758895,-0.014811,0.198851,-0.162218,-0.429119
2980,14.9,1,0.651046,0.758895,0.014811,-0.198851,0.162218,0.429119
3000,15,0,-0.630355,-0.774162,-0.0576866,0.214872,-0.143051,-0.428213
3000,15,1,0.630355,0.774162,0.0576866,-0.214872,0.143051,0.428213
3020,15.1,0,-0.608089,-0.787494,-0.100418,0.230356,-0.123526,-0.426236
3020,15.1,1,0.608089,0.787494,0.100418,-0.230356,0.123526,0.426236
3040,15.2,0,-0.584303,-0.798857,-0.142898,0.245264,-0.103692,-0.423194
3040,15.2,1,0.584303,0.798857,0.142898,-0.245264,0.103692,0.423194
3060,15.3,0,-0.559057,-0.808223,-0.185022,0.259559,-0.0835998,-0.419094
3060,15.3,1,0.559057,0.808223,0.185022,-0.259559,0.0835998,0.419094
3080,15.4,0,-0.532413,-0.81557,-0.226682,0.273205,-0.0632983,-0.413947
3080,15.4,1,0.532413,0.81557,0.226682,-0.273205,0.0632983,0.413947
3100,15.5,0,-0.504438,-0.820878,-0.267776,0.286168,-0.0428385,-0.407765
3100,15.5,1,0.504438,0.820878,0.267776,-0.286168,0.0428385,0.407765
3120,15.6,0,-0.475203,-0.824134,-0.308201,0.298416,-0.0222717,-0.400563
3120,15.6,1,0.475203,0.824134,0.308201,-0.298416,0.0222717,0.400563
3140,15.7,0,-0.44478,-0.82533,-0.347856,0.309918,-0.00164919,-0.392361
3140,15.7,1,0.44478,0.82533,0.347856,-0.309918,0.00164919,0.392361
3160,15.8,0,-0.413245,-0.824464,-0.386641,0.320646,0.0189774,-0.383178
3160,15.8,1,0.413245,0.824464,0.386641,-0.320646,-0.0189774,0.383178
3180,15.9,0,-0.380678,-0.821536,-0.42446,0.330572,0.0395566,-0.373037
3180,15.9,1,0.380678,0.821536,0.42446,-0.330572,-0.0395566,0.373037
3200,16,0,-0.347158,-0.816556,-0.461217,0.339672,0.0600369,-0.361964
3200,16,1,0.347158,0.816556,0.461217,-0.339672,-0.0600369,0.361964
3220,16.1,0,-0.312771,-0.809534,-0.496822,0.347922,0.0803671,-0.349986
3220,16.1,1,0.312771,0.809534,0.496822,-0.347922,-0.0803671,0.349986
3240,16.2,0,-0.277603,-0.800489,-0.531185,0.355304,0.100496,-0.337133
3240,16.2,1,0.277603,0.800489,0.531185,-0.355304,-0.100496,0.337133
3260,16.3,0,-0.24174,-0.789443,-0.564221,0.361797,0.120375,-0.323438
3260,16.3,1,0.24174,0.789443,0.564221,-0.361797,-0.120375,0.323438
3280,16.4,0,-0.205274,-0.776424,-0.595846,0.367385,0.139952,-0.308934
3280,16.4,1,0.205274,0.776424,0.595846,-0.367385,-0.139952,0.308934
